Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Male,Country,Timestamp,Clicked on Ad
"68,95",35,"61833,9","256,09",Wrightburgh,0,Tunisia,2016-03-27 00:53:11,0
"80,23",31,"68441,85","193,77",West Jodi,1,Nauru,2016-04-04 01:39:02,0
"69,47",26,"59785,94","236,5",Davidton,0,San Marino,2016-03-13 20:35:42,0
"74,15",29,"54806,18","245,89",West Terrifurt,1,Italy,2016-01-10 02:31:19,0
"68,37",35,"73889,99","225,58",South Manuel,0,Iceland,2016-06-03 03:36:18,0
"59,99",23,"59761,56","226,74",Jamieberg,1,Norway,2016-05-19 14:30:17,0
"88,91",33,"53852,85","208,36",Brandonstad,0,Myanmar,2016-01-28 20:59:32,0
66,48,"24593,33","131,76",Port Jefferybury,1,Australia,2016-03-07 01:40:15,1
"74,53",30,68862,"221,51",West Colin,1,Grenada,2016-04-18 09:33:42,0
"69,88",20,"55642,32","183,82",Ramirezton,1,Ghana,2016-07-11 01:42:51,0
"47,64",49,"45632,51","122,02",West Brandonton,0,Qatar,2016-03-16 20:19:01,1
"83,07",37,"62491,01","230,87",East Theresashire,1,Burundi,2016-05-08 08:10:10,0
"69,57",48,"51636,92","113,12",West Katiefurt,1,Egypt,2016-06-03 01:14:41,1
"79,52",24,"51739,63","214,23",North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:22,0
"42,95",33,30976,"143,56",West William,0,Barbados,2016-03-24 09:31:49,1
"63,45",23,"52182,23","140,64",New Travistown,1,Spain,2016-03-09 03:41:30,1
"55,39",37,"23936,86","129,41",West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:41,1
"82,03",41,"71511,08","187,53",Pruittmouth,0,Afghanistan,2016-05-02 07:00:58,0
"54,7",36,"31087,54","118,39",Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,1
"74,58",40,"23821,72","135,51",Millertown,1,Russian Federation,2016-02-27 04:43:07,1
"77,22",30,"64802,33","224,44",Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,0
"84,59",35,"60015,57","226,54",Lake Nicole,1,Cameroon,2016-03-18 13:22:35,0
"41,49",52,"32635,7","164,83",South John,0,Burundi,2016-05-20 08:49:33,1
"87,29",36,"61628,72","209,93",Pamelamouth,1,Korea,2016-03-23 09:43:43,0
"41,39",41,"68962,32","167,22",Harperborough,0,Tokelau,2016-06-13 17:27:09,1
"78,74",28,64828,"204,79",Port Danielleberg,1,Monaco,2016-05-27 15:25:52,0
"48,53",28,"38067,08","134,14",West Jeremyside,1,Tuvalu,2016-02-08 10:46:14,1
"51,95",52,"58295,82","129,23",South Cathyfurt,0,Greece,2016-07-19 08:32:10,1
"70,2",34,"32708,94","119,2",Palmerside,0,British Virgin Islands,2016-04-14 05:08:35,1
"76,02",22,"46179,97","209,82",West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,0
"67,64",35,"51473,28","267,01",Phelpschester,1,Peru,2016-07-02 20:23:15,0
"86,41",28,"45593,93","207,48",Lake Melindamouth,1,Aruba,2016-03-01 22:13:37,0
"59,05",57,"25583,29","169,23",North Richardburgh,1,Maldives,2016-07-15 05:05:14,1
"55,6",23,"30227,98","212,58",Port Cassie,0,Senegal,2016-01-14 14:00:09,1
"57,64",57,"45580,92","133,81",New Thomas,1,Dominica,2016-03-15 03:12:25,1
"84,37",30,"61389,5","201,58",Johnstad,0,Luxembourg,2016-04-12 03:26:39,0
"62,26",53,"56770,79","125,45",West Aprilport,1,Montenegro,2016-04-07 15:18:10,1
"65,82",39,"76435,3","221,94",Kellytown,0,Ukraine,2016-02-09 05:28:18,0
"50,43",46,"57425,87","119,32",Charlesport,1,Saint Helena,2016-05-07 17:11:49,1
"38,93",39,"27508,41","162,08",Millerchester,0,Liberia,2016-03-11 06:49:10,1
"84,98",29,"57691,95","202,61",Mackenziemouth,0,Russian Federation,2016-04-27 09:27:58,0
"64,24",30,"59784,18","252,36",Zacharystad,0,Tunisia,2016-04-16 11:53:43,0
"82,52",32,"66572,39","198,11",North Joshua,1,Turkmenistan,2016-05-08 15:38:46,0
"81,38",31,"64929,61","212,3",Bowenview,0,Saint Helena,2016-02-08 00:23:38,0
"80,47",25,"57519,64","204,86",Jamesberg,0,Niger,2016-02-11 13:26:22,0
"37,68",52,"53575,48","172,83",Lake Cassandraport,1,Turkmenistan,2016-02-17 13:16:33,1
"69,62",20,"50983,75","202,25",New Sharon,1,Qatar,2016-02-26 22:46:43,0
"85,4",43,"67058,72","198,72",Johnport,0,Sri Lanka,2016-06-08 18:54:01,0
"44,33",37,"52723,34","123,72",Hamiltonfort,1,Trinidad and Tobago,2016-01-08 09:32:26,1
"48,01",46,"54286,1","119,93",West Christopher,0,Italy,2016-04-25 11:01:54,1
"73,18",23,"61526,25","196,71",Hollandberg,1,British Virgin Islands,2016-04-04 07:07:46,0
"79,94",28,"58526,04","225,29",Odomville,0,United Kingdom,2016-05-03 21:19:58,0
"33,33",45,"53350,11","193,58",East Samanthashire,1,Guinea-Bissau,2016-01-17 09:31:36,1
"50,33",50,"62657,53","133,2",South Lauraton,1,Micronesia,2016-03-02 04:57:51,1
"62,31",47,"62722,57","119,3",Amandahaven,0,Turkey,2016-02-14 07:36:58,1
"80,6",31,"67479,62","177,55",Thomasview,0,Croatia,2016-04-07 03:56:16,0
"65,19",36,"75254,88","150,61",Garciaside,0,Israel,2016-02-17 11:42:00,1
"44,98",49,"52336,64","129,31",Port Sarahshire,0,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47,1
"77,63",29,"56113,37","239,22",Port Gregory,0,Azerbaijan,2016-02-14 17:05:15,0
"41,82",41,"24852,9","156,36",Brendachester,0,Iran,2016-05-26 22:49:47,1
"85,61",27,"47708,42","183,43",Lake Amy,0,Burundi,2016-04-30 08:07:13,0
"85,84",34,"64654,66","192,93",Lake Annashire,1,Saint Vincent and the Grenadines,2016-06-15 05:30:13,0
"72,08",29,"71228,44","169,5",Smithburgh,0,Burundi,2016-03-09 14:45:33,0
"86,06",32,"61601,05","178,92",North Leonmouth,1,Bulgaria,2016-03-31 20:55:22,0
"45,96",45,"66281,46","141,22",Robertfurt,0,Christmas Island,2016-06-03 00:55:23,1
"62,42",29,"73910,9","198,5",Jasminefort,1,Canada,2016-03-10 23:36:03,0
"63,89",40,"51317,33","105,22",Jensenborough,0,Rwanda,2016-01-08 00:17:27,1
"35,33",32,"51510,18","200,22",Bradleyburgh,0,Turks and Caicos Islands,2016-06-05 22:11:34,1
"75,74",25,"61005,87","215,25",New Sheila,1,Tunisia,2016-01-16 11:35:01,0
"78,53",34,"32536,98","131,72",North Regina,0,Norfolk Island,2016-04-22 20:10:22,1
"46,13",31,"60248,97","139,01",Davidmouth,0,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,1
"69,01",46,"74543,81","222,63",New Michaeltown,0,Turks and Caicos Islands,2016-07-07 13:37:34,0
"55,35",39,"75509,61","153,17",East Tammie,1,Cook Islands,2016-03-08 00:37:54,1
"33,21",43,"42650,32","167,07",Wilcoxport,1,Turkey,2016-05-10 17:39:06,1
"38,46",42,"58183,04","145,98",East Michaelmouth,1,Guatemala,2016-04-06 11:24:21,1
"64,1",22,"60465,72","215,93",East Tiffanyport,0,Cote d'Ivoire,2016-04-01 16:21:05,0
"49,81",35,"57009,76","120,06",Ramirezhaven,1,Faroe Islands,2016-01-05 04:18:46,1
"82,73",33,"54541,56","238,99",Cranemouth,1,Qatar,2016-05-20 21:31:24,0
"56,14",38,"32689,04","113,53",Lake Edward,1,Ireland,2016-02-03 07:59:16,1
"55,13",45,"55605,92","111,71",Lake Conniefurt,0,Ukraine,2016-02-17 21:55:29,1
"78,11",27,"63296,87","209,25",East Shawnchester,1,Moldova,2016-01-30 16:10:04,0
"73,46",28,"65653,47","222,75",West Joseph,1,Nicaragua,2016-05-15 14:41:49,0
"56,64",38,"61652,53","115,91",Lake Christopherfurt,0,Montserrat,2016-01-05 17:56:52,1
"68,94",54,"30726,26","138,71",East Tylershire,0,Timor-Leste,2016-04-19 07:34:28,1
"70,79",31,"74535,94","184,1",Sharpberg,0,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,0
"57,76",41,"47861,93","105,15",Lake Dustin,0,Puerto Rico,2016-06-12 15:25:44,1
"77,51",36,"73600,28","200,55",North Kristine,0,Central African Republic,2016-07-01 04:41:57,0
"52,7",34,"58543,94","118,6",Grahamberg,1,Venezuela,2016-05-08 12:12:04,1
"57,7",34,"42696,67","109,07",New Tina,0,Australia,2016-03-14 23:13:11,1
"56,89",37,"37334,78","109,29",Nelsonfurt,1,Wallis and Futuna,2016-05-25 00:19:57,1
"69,9",43,"71392,53","138,35",Christopherport,0,Jersey,2016-05-13 11:51:10,1
"55,79",24,"59550,05","149,67",Port Sarahhaven,0,Puerto Rico,2016-02-20 20:47:05,1
"70,03",26,"64264,25","227,72",Bradleyborough,1,Samoa,2016-05-22 20:49:37,0
"50,08",40,"64147,86","125,85",Whiteport,1,Greece,2016-04-10 02:02:36,1
"43,67",31,"25686,34","166,29",New Theresa,1,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,1
"72,84",26,"52968,22","238,63",Wongland,0,Albania,2016-07-08 21:18:32,0
"45,72",36,"22473,08","154,02",Williammouth,1,Hong Kong,2016-04-19 15:14:58,1
"39,94",41,"64927,19","156,3",Williamsborough,0,Lithuania,2016-01-08 22:47:10,1
"35,61",46,"51868,85","158,22",North Michael,0,Egypt,2016-03-28 08:46:26,1
"79,71",34,"69456,83","211,65",Benjaminchester,1,Bangladesh,2016-07-02 14:57:53,0
"41,49",53,"31947,65","169,18",Hernandezville,0,Western Sahara,2016-07-03 09:22:30,1
"63,6",23,"51864,77","235,28",Youngburgh,1,Serbia,2016-06-01 09:27:34,0
"89,91",40,"59593,56","194,23",Wallacechester,0,Maldives,2016-07-09 14:55:36,0
"68,18",21,"48376,14","218,17",Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,0
"66,49",20,"56884,74","202,16",Bradshawborough,0,Guernsey,2016-06-10 11:31:33,0
"80,49",40,"67186,54","229,12",Amyhaven,1,Tanzania,2016-02-14 03:50:52,0
"72,23",25,"46557,92","241,03",Marcushaven,1,Bhutan,2016-07-05 17:17:49,0
"42,39",42,"66541,05","150,99",Erinton,0,Christmas Island,2016-04-28 05:50:25,1
"47,53",30,"33258,09","135,18",Hughesport,0,Guinea,2016-04-03 05:10:31,1
"74,02",32,"72272,9","210,54",Johnstad,0,Micronesia,2016-03-09 14:57:11,0
"66,63",60,"60333,38","176,98",New Lucasburgh,0,Madagascar,2016-01-16 23:37:51,1
"63,24",53,"65229,13","235,78",Michelleside,1,Lebanon,2016-07-03 04:33:41,1
71,22,"56067,38","211,87",Andersonton,0,Eritrea,2016-03-14 06:46:14,0
"46,13",46,"37838,72","123,64",New Rachel,1,Guyana,2016-01-09 05:44:56,1
69,32,"72683,35","221,21",Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,0
"76,99",31,"56729,78","244,34",West Angelabury,1,Jersey,2016-06-22 07:33:21,0
"72,6",55,"66815,54","162,95",Port Christopherborough,0,United Arab Emirates,2016-07-13 16:12:24,1
"61,88",42,"60223,52","112,19",Phillipsbury,1,Martinique,2016-07-23 11:46:28,1
"84,45",50,"29727,79","207,18",Millerside,0,Somalia,2016-07-13 04:10:53,1
"88,97",45,"49269,98","152,49",Lake Jessica,0,Bhutan,2016-06-11 18:32:12,1
"86,19",31,"57669,41","210,26",Lopezmouth,1,Greece,2016-05-08 12:51:00,0
"49,58",26,"56791,75","231,94",Johnsport,0,Benin,2016-04-07 16:02:02,0
"77,65",27,"63274,88","212,79",South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,0
"37,75",36,"35466,8","225,24",South Daniel,0,Uzbekistan,2016-02-26 19:48:23,1
"62,33",43,"68787,09","127,11",Suzannetown,0,South Africa,2016-06-21 13:15:21,1
"79,57",31,"61227,59","230,93",Lisaberg,0,Egypt,2016-05-17 04:27:31,0
"80,31",44,"56366,88","127,07",Brianfurt,0,Hungary,2016-04-18 15:54:33,1
"89,05",45,"57868,44","206,98",Stewartbury,0,Falkland Islands (Malvinas),2016-04-03 10:07:56,0
"70,41",27,"66618,21","223,03",Benjaminchester,0,Dominica,2016-04-04 21:30:46,0
"67,36",37,"73104,47","233,56",North Wesleychester,0,Jersey,2016-07-06 16:00:33,0
"46,98",50,"21644,91","175,37",East Michelleberg,0,Lithuania,2016-05-04 09:00:24,1
"41,67",36,"53817,02","132,55",Port Eric,0,Saint Martin,2016-06-13 18:50:00,1
"51,24",36,"76368,31","176,73",Timothyfurt,0,Cuba,2016-01-03 16:01:40,1
"75,7",29,"67633,44","215,44",Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,0
"43,49",47,"50335,46","127,83",Guzmanland,0,Belize,2016-01-12 10:07:29,1
"49,89",39,"17709,98","160,03",East Michele,1,Belize,2016-04-16 12:09:25,1
"38,37",36,"41229,16","140,46",East John,0,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,1
"38,52",38,"42581,23","137,28",Lesliebury,1,Saint Vincent and the Grenadines,2016-03-27 23:59:06,1
"71,89",23,"61617,98","172,81",Patriciahaven,1,Kuwait,2016-02-03 23:47:56,0
"75,8",38,"70575,6","146,19",Ashleychester,1,Thailand,2016-04-18 11:23:05,0
"83,86",31,"64122,36","190,25",Lake Josetown,0,Gibraltar,2016-02-05 19:06:01,0
"37,51",30,"52097,32",163,Debraburgh,1,Holy See (Vatican City State),2016-03-21 18:46:41,1
"55,6",44,"65953,76","124,38",New Debbiestad,1,Korea,2016-06-14 11:59:58,1
"83,67",44,"60192,72","234,26",West Shaun,1,Saint Helena,2016-02-06 23:08:57,0
"69,08",41,"77460,07","210,6",Kimberlyhaven,0,Turks and Caicos Islands,2016-03-12 01:39:19,0
"37,47",44,"45716,48","141,89",Port Lawrence,1,Czech Republic,2016-01-26 03:56:18,1
"56,04",49,"65120,86","128,95",West Ricardo,1,Netherlands,2016-02-07 08:02:31,1
"70,92",41,"49995,63","108,16",Lake Jose,1,Belarus,2016-05-05 07:58:22,1
"49,78",46,"71718,51","152,24",Heatherberg,0,Dominica,2016-06-29 02:43:29,1
"68,61",57,"61770,34","150,29",South George,0,South Africa,2016-04-10 19:48:01,1
"58,18",25,"69112,84","176,28",Tinachester,1,New Zealand,2016-02-10 06:37:56,0
"78,54",35,"72524,86","172,1",Port Jodi,0,Togo,2016-05-28 20:41:50,0
37,48,"36782,38","158,22",Jonathantown,1,Kenya,2016-03-24 06:36:52,1
"65,4",33,"66699,12","247,31",Sylviaview,0,Palau,2016-02-12 22:51:08,0
"79,52",27,"64287,78","183,48",East Timothyport,1,Timor-Leste,2016-06-10 10:11:00,0
"87,98",38,"56637,59","222,11",West Roytown,1,Cambodia,2016-03-31 10:44:46,0
"44,64",36,"55787,58","127,01",Codyburgh,0,Belize,2016-02-14 06:51:43,1
"41,73",28,"61142,33","202,18",Port Erikhaven,1,Cuba,2016-01-07 19:16:05,1
"80,46",27,"61625,87","207,96",Port Chasemouth,1,Costa Rica,2016-02-04 02:13:52,0
"75,55",36,"73234,87","159,24",Ramirezside,0,Liechtenstein,2016-05-09 02:58:58,1
"76,32",35,"74166,24","195,31",East Michaeltown,1,Korea,2016-06-23 00:16:02,0
"82,68",33,"62669,59","222,77",West Courtney,1,Ukraine,2016-06-20 09:35:02,0
"72,01",31,"57756,89",251,West Michaelhaven,0,Angola,2016-02-29 12:31:57,0
"75,83",24,"58019,64","162,44",Walshhaven,0,Nauru,2016-01-17 15:10:31,0
"41,28",50,"50960,08","140,39",East Rachelview,0,Equatorial Guinea,2016-01-29 03:54:19,1
"34,66",32,"48246,6","194,83",Curtisport,0,Mongolia,2016-07-14 12:07:10,1
"66,18",55,"28271,84","143,42",Frankbury,0,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,1
"86,06",31,"53767,12","219,72",Timothytown,1,Timor-Leste,2016-04-28 18:34:56,0
"59,59",42,"43662,1","104,78",Samanthaland,1,Brazil,2016-07-06 18:36:01,1
"86,69",34,"62238,58","198,56",South Jennifer,0,Chad,2016-05-27 06:19:27,0
"43,77",52,"49030,03","138,55",Kyleborough,1,Portugal,2016-01-25 07:39:41,1
"71,84",47,"76003,47","199,79",North Randy,1,Malawi,2016-05-08 22:47:18,0
"80,23",31,"68094,85","196,23",South Daniellefort,0,Qatar,2016-03-19 14:23:45,0
"74,41",26,"64395,85","163,05",Dianashire,0,Singapore,2016-07-23 04:37:05,0
"63,36",48,"70053,27","137,43",East Eric,0,Guinea,2016-06-23 01:22:43,1
"71,74",35,"72423,97","227,56",Hammondport,0,Kazakhstan,2016-07-19 18:06:22,0
"60,72",44,"42995,8","105,69",Jacobstad,0,Kuwait,2016-02-28 18:52:44,1
"72,04",22,"60309,58","199,43",Hernandezfort,0,Rwanda,2016-02-10 06:52:07,0
"44,57",31,"38349,78","133,17",Joneston,1,China,2016-03-27 09:11:10,1
"85,86",34,"63115,34","208,23",New Jeffreychester,0,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,0
"39,85",38,"31343,39","145,96",East Stephen,0,Vietnam,2016-01-03 03:22:15,1
"84,53",27,"40763,13","168,34",Turnerchester,0,Guatemala,2016-01-04 21:48:38,1
"62,95",60,"36752,24","157,04",Youngfort,0,Peru,2016-05-24 13:30:38,1
"67,58",41,"65044,59","255,61",Ingramberg,1,Mayotte,2016-02-01 19:42:40,0
"85,56",29,"53673,08","210,46",South Denisefurt,0,Samoa,2016-06-05 13:16:24,0
"46,88",54,"43444,86","136,64",Port Melissaberg,0,Singapore,2016-02-04 08:53:37,1
"46,31",57,"44248,52","153,98",Bernardton,1,Jamaica,2016-03-24 13:37:53,1
"77,95",31,"62572,88","233,65",Port Mathew,1,Bahamas,2016-06-02 21:02:22,0
"84,73",30,"39840,55","153,76",Aliciatown,0,Canada,2016-02-21 07:42:48,1
"39,86",36,"32593,59","145,85",Josephstad,0,Algeria,2016-06-26 17:16:26,1
"50,08",30,"41629,86","123,91",West Ericfurt,0,Fiji,2016-01-03 05:34:33,1
"60,23",35,"43313,73","106,86",New Brendafurt,0,Kenya,2016-03-08 18:00:43,1
"60,7",49,"42993,48","110,57",Port Julie,1,Argentina,2016-06-19 03:19:44,1
"43,67",53,"46004,31","143,79",South Tiffanyton,1,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,1
"77,2",33,"49325,48","254,05",North Elizabeth,1,Philippines,2016-02-12 20:36:40,0
"71,86",32,"51633,34","116,53",Kentmouth,0,Senegal,2016-05-17 06:14:20,1
"44,78",45,"63363,04","137,24",West Casey,1,Suriname,2016-07-09 11:04:54,1
"78,57",36,"64045,93","239,32",East Henry,1,Liberia,2016-03-27 02:35:29,0
"73,41",31,"73049,3","201,26",Hollyfurt,1,Guam,2016-01-16 08:01:40,0
"77,05",27,"66624,6","191,14",North Anna,0,United Arab Emirates,2016-01-21 23:48:29,0
"66,4",40,"77567,85","214,42",Port Destiny,0,Antigua and Barbuda,2016-06-05 00:29:13,0
"69,35",29,"53431,35","252,77",Ianmouth,1,Argentina,2016-02-13 15:37:36,0
"35,65",40,"31265,75","172,58",North Johntown,1,Georgia,2016-05-10 07:22:37,1
"70,04",31,"74780,74","183,85",Hannahside,1,Jordan,2016-03-27 03:59:26,0
"69,78",29,"70410,11","218,79",Wilsonburgh,0,Saudi Arabia,2016-05-24 18:35:58,0
"58,22",29,"37345,24","120,9",North Russellborough,0,South Africa,2016-02-11 02:40:02,1
"76,9",28,"66107,84","212,67",Murphymouth,0,Croatia,2016-04-22 08:31:24,0
"84,08",30,"62336,39","187,36",Carterburgh,1,Fiji,2016-01-13 02:58:27,0
"59,51",58,"39132,64","140,83",Penatown,0,Australia,2016-06-16 02:01:24,1
"40,15",38,"38745,29","134,88",Joechester,1,Sao Tome and Principe,2016-06-27 18:37:04,1
"76,81",28,"65172,22","217,85",East Paul,1,Fiji,2016-07-03 12:57:03,0
"41,89",38,"68519,96","163,38",Hartmanchester,0,Cyprus,2016-02-03 04:21:14,1
"76,87",27,"54774,77","235,35",Mcdonaldfort,1,Kyrgyz Republic,2016-05-29 21:17:10,0
"67,28",43,"76246,96","155,8",North Mercedes,1,Pakistan,2016-04-03 21:13:46,1
"81,98",40,"65461,92","229,22",Taylorberg,0,Seychelles,2016-04-15 11:51:14,0
"66,01",23,"34127,21","151,95",Hansenmouth,0,Samoa,2016-06-21 03:14:41,1
"61,57",53,"35253,98","125,94",Bradyfurt,1,Bulgaria,2016-03-14 14:13:05,1
"53,3",34,"44893,71","111,94",West Jessicahaven,0,Mauritania,2016-05-06 21:07:31,1
"34,87",40,"59621,02","200,23",Davilachester,0,Czech Republic,2016-06-12 17:52:43,1
"43,6",38,"20856,54","170,49",North Ricardotown,0,Chile,2016-01-11 07:36:22,1
"77,88",37,"55353,41","254,57",Melissafurt,0,Poland,2016-07-02 00:24:22,0
"75,83",27,"67516,07","200,59",East Brianberg,0,Estonia,2016-03-04 10:13:48,0
"49,95",39,"68737,75","136,59",Millerbury,0,Turkmenistan,2016-03-24 09:12:52,1
"60,94",41,"76893,84","154,97",Garciaview,0,Latvia,2016-02-14 07:30:24,1
"89,15",42,"59886,58","171,07",Townsendfurt,0,Fiji,2016-04-25 07:30:21,0
"78,7",30,"53441,69","133,99",Williamstad,0,Turkey,2016-02-10 19:20:51,1
"57,35",29,"41356,31","119,84",West Connor,0,Kazakhstan,2016-04-23 14:34:38,1
"34,86",38,"49942,66","154,75",West Justin,0,Bahrain,2016-06-18 17:56:32,1
"70,68",31,"74430,08","199,08",Robertbury,0,Colombia,2016-07-17 01:58:53,0
"76,06",23,"58633,63","201,04",New Tinamouth,0,Brunei Darussalam,2016-04-27 04:28:17,0
"66,67",33,"72707,87","228,03",Turnerview,1,Taiwan,2016-04-21 20:29:35,0
"46,77",32,"31092,93","136,4",Reneechester,1,Serbia,2016-03-23 06:00:15,1
"62,42",38,"74445,18","143,94",West Tinashire,0,Saint Pierre and Miquelon,2016-07-19 07:59:18,1
"78,32",28,"49309,14","239,52",Jamesfurt,0,Australia,2016-06-26 11:52:18,1
"37,32",50,"56735,14","199,25",New Nancy,1,Chad,2016-03-30 23:40:52,1
"40,42",45,"40183,75","133,9",Lisamouth,1,Norway,2016-03-16 07:59:37,1
"76,77",36,"58348,41","123,51",Harveyport,0,Turks and Caicos Islands,2016-05-04 00:01:33,1
"65,65",30,"72209,99","158,05",Ramosstad,0,Finland,2016-07-02 21:22:23,0
"74,32",33,"62060,11","128,17",North Kevinside,0,South Africa,2016-05-23 21:14:38,1
"73,27",32,"67113,46","234,75",Haleview,1,Martinique,2016-01-29 20:16:54,0
"80,03",44,"24030,06","150,84",Christinetown,0,Afghanistan,2016-07-23 14:47:23,1
"53,68",47,"56180,93","115,26",New Michael,1,Micronesia,2016-02-16 09:11:27,1
"85,84",32,"62204,93","192,85",Jonesland,1,French Southern Territories,2016-06-09 21:43:05,0
"85,03",30,"60372,64","204,52",North Shannon,0,Philippines,2016-06-19 09:24:35,0
"70,44",24,"65280,16","178,75",New Sonialand,1,Algeria,2016-06-06 21:26:51,0
"81,22",53,"34309,24","223,09",Port Jason,1,San Marino,2016-01-07 13:25:21,0
"39,96",45,"59610,81","146,13",East Barbara,1,Guernsey,2016-04-15 06:08:35,1
"57,05",41,"50278,89","269,96",Port Erinberg,1,Sierra Leone,2016-01-09 03:45:19,1
